2023-06-05 23:13:29,029 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2023-06-05 23:13:29,073 [restartedMain] INFO  org.example.Main - Starting Main using Java 17.0.6 on LAPTOP-J8JO732I with PID 15732 (C:\Users\ilham\IdeaProjects\sncf-ihm\Backend\target\classes started by ilham in C:\Users\ilham\IdeaProjects\sncf-ihm\Backend)
2023-06-05 23:13:29,077 [restartedMain] INFO  org.example.Main - No active profile set, falling back to 1 default profile: "default"
2023-06-05 23:13:29,220 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-06-05 23:13:29,221 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-06-05 23:13:30,969 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-06-05 23:13:31,117 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 128 ms. Found 6 JPA repository interfaces.
2023-06-05 23:13:33,166 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-06-05 23:13:33,194 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-06-05 23:13:33,195 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-06-05 23:13:33,196 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.62]
2023-06-05 23:13:33,518 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-06-05 23:13:33,518 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4295 ms
2023-06-05 23:13:33,631 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - sncf - Starting...
2023-06-05 23:13:34,238 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - sncf - Start completed.
2023-06-05 23:13:34,250 [restartedMain] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:mysql://localhost:3306/sncf'
